,displayName,description,abbreviation,value,perGameValue,rank
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,235.0,13.0,18.0
7,Punts,The number of punts taken.,PUNTS,66.0,3.0,14.0
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,10.0
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,10.0
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,5.0,,28.0
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,7.576,,30.0
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,22.0,1.0,19.0
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,33.333,29.35300064086914,22.0
14,Punt Yards,The total amount of yardage of punts.,YDS,3064.0,180.0,16.0
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,9.091,7.758999824523926,8.0
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,6.0,,6.0
0,Defensive Points,The number of points scored on defense.,DP,0.0,2.0,8.0
1,Field Goals,The number of field goals made.,FG,29.0,1.0,9.0
2,Kick Extra Points,The number of extra points made.,PAT,47.0,2.0,6.0
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,36.0,2.0,7.0
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,36.0,2.0,7.0
6,Return Touchdowns,The total number of return touchdowns.,RET,2.0,,11.0
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,16.0,,14.0
8,Total Points,The number of total points scored.,PTS,460.0,26.0,7.0
9,Total Points Per Game,The number of points scored per game.,TP/G,27.059,,7.0
10,Total Touchdowns,The number of touchdowns scored in total.,TD,54.0,3.0,6.0
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1.0,,23.0
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,1.0,,17.0
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,1.0,,17.0
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,18.0
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Total 1st downs,The the number of first downs.,CMP,337.0,19.0,18.0
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,208.0,12.0,11.0
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,33.0,1.0,10.0
3,First Downs Per Game,The average number of first downs per game.,FD/G,19.824,19.0,18.0
