,displayName,description,abbreviation,value,perGameValue,rank
1,Fair Catches,The number of fair catches.,FC,19.0,1.0,17
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,42.253,42.172000885009766,32
3,Long Punt,The distance of the longest punt.,LNG,62.0,52.0,29
4,Net Average Punt Yards,The average net number of yards per punt.,NET,38.388,37.93199920654297,32
5,Punt Returns,The number of times a punt was returned.,ATT,34.0,2.0,8
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,267.0,15.0,15
7,Punts,The number of punts taken.,PUNTS,79.0,4.0,7
8,Punts Blocked,The number of times a punt was blocked.,PBLK,1.0,,3
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,1.266,0.009999999776482582,10
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,8.0,,13
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,10.127,,20
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,22.0,1.0,21
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,27.848,27.235000610351562,28
14,Punt Yards,The total amount of yardage of punts.,YDS,3338.0,196.0,12
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,12.658,11.246000289916992,1
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,10.0,,1
0,Defensive Points,The number of points scored on defense.,DP,0.0,6.0,11
1,Field Goals,The number of field goals made.,FG,32.0,1.0,6
2,Kick Extra Points,The number of extra points made.,PAT,32.0,1.0,18
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,19.0,1.0,19
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,19.0,1.0,19
6,Return Touchdowns,The total number of return touchdowns.,RET,8.0,,1
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,12.0,,22
8,Total Points,The number of total points scored.,PTS,364.0,19.0,17
9,Total Points Per Game,The number of points scored per game.,TP/G,21.412,,17
