,displayName,description,abbreviation,value,perGameValue,rank
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,116.0,,3
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,2
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,34.0,2.0,15
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,9
10,Kick Return Yards,The total yardage of kick returns.,YDS,630.0,37.0,25
11,Long Kick Return,The longest kick return in yards.,LNG,44.0,21.0,15
12,Long Punt Return,The longest punt return in yards.,LNG,39.0,10.0,11
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,6.0,,24
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,41.0,,12
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,16.0,,16
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,48.485,,24
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,33.0,1.0,8
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,3
27,Punt Return Yards,The total yardage of punt returns.,YDS,239.0,14.0,13
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,18.529,15.559000015258789,29
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,7.242,6.892000198364258,26
33,Yards Per Return,The average number of yards per return.,YDS/R,12.97,,29
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,9.375,7.810999870300293,9
1,Fair Catches,The number of fair catches.,FC,12.0,,26
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,43.927,40.71200180053711,27
3,Long Punt,The distance of the longest punt.,LNG,68.0,47.0,9
4,Net Average Punt Yards,The average net number of yards per punt.,NET,39.836,36.96699905395508,27
5,Punt Returns,The number of times a punt was returned.,ATT,24.0,1.0,22
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,225.0,13.0,22
7,Punts,The number of punts taken.,PUNTS,55.0,3.0,25
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,10
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,10
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,10.0,,5
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,18.182,,2
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,17.0,1.0,29
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,30.909,34.47100067138672,27
14,Punt Yards,The total amount of yardage of punts.,YDS,2416.0,142.0,27
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,5.455,5.881999969482422,18
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,3.0,,20
0,Defensive Points,The number of points scored on defense.,DP,0.0,6.0,8
1,Field Goals,The number of field goals made.,FG,30.0,1.0,7
2,Kick Extra Points,The number of extra points made.,PAT,44.0,2.0,10
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,20.0,1.0,25
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,20.0,1.0,25
6,Return Touchdowns,The total number of return touchdowns.,RET,5.0,,3
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,25.0,1.0,1
8,Total Points,The number of total points scored.,PTS,444.0,25.0,12
9,Total Points Per Game,The number of points scored per game.,TP/G,26.118,,12
10,Total Touchdowns,The number of touchdowns scored in total.,TD,50.0,2.0,12
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,5.0,,3
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,3.0,,3
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,3.0,,3
