,displayName,description,abbreviation,value,perGameValue,rank
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,11.0,,21
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,3.0,,2
2,Interception Yards,The number of yards gained after an interception.,YDS,246.0,14.0,5
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,22.129,18.812000274658203,2
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,63.436,15.342000007629395,1
2,Extra Point Attempts,The number of extra point attempts.,XPA,27.0,1.0,4
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,88.889,77.45099639892578,4
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,24.0,1.0,4
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,10.340999603271484,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,32.0,1.0,2
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,1
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,4.0,,4
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,11.0,,2
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,10.0,,2
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,7.0,,2
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,7.0,,13
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1297.0,76.0,2
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,87.5,67.45099639892578,3
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1
21,Field Goal Made,The number of times a field goal is made.,FGM,28.0,1.0,2
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,1
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,4.0,,4
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,11.0,,2
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,7.0,,1
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,6.0,,2
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,1
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,6.0,,3
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1112.0,65.0,2
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,185.0,10.0,2
31,Kickoff Returns,The number of times a kickoff was returned.,KR,31.0,1.0,2
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,686.0,40.0,3
34,Kickoffs,The number of kickoffs taken.,K,78.0,4.0,3
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,4948.0,73.0,3
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,57.0,,2
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,57.0,32.0,2
38,Long Kickoff,The distance of the longest kickoff.,LK,73.0,41.0,1
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,108.0,6.0,4
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,73.077,74.26499938964844,2
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,57.0,3.0,2
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
