,displayName,description,abbreviation,value,perGameValue,rank
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6.0
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1.0
12,Passes Defended,The total number of passes defended.,PD,90.0,5.0,2.0
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1.0
14,Sacks,The total number of sacks.,SACK,40.0,2.5,14.0
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,288.0,18.0,11.0
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,1.0,,1.0
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,779.0,43.0,12.0
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,53.0,5.0,2.0
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,248.0,,11.0
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,93.0,5.813000202178955,3.0
21,Team Games Played,The numbers of team games played.,GP,16.0,,31.0
22,Total Tackles,The total number of tackles.,TOT,1128.0,62.0,8.0
23,Yards Allowed,Yards allowed,YA,0.0,,1.0
24,Points Allowed,Points allowed,PA,0.0,,1.0
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Interceptions,The total number of interceptions.,INT,17.0,1.0,4.0
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11.0
2,Interception Yards,The number of yards gained after an interception.,YDS,165.0,10.0,14.0
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,25.222,19.849000930786133,4.0
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,61.935,33.03099822998047,2.0
2,Extra Point Attempts,The number of extra point attempts.,XPA,50.0,3.0,1.0
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,96.0,96.35399627685547,2.0
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0
6,Extra Points Made,The number of extra point attempts made.,XPM,48.0,3.0,1.0
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,9.20199966430664,1.0
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,31.0,1.0,4.0
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,4.0,,4.0
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,13.0,,1.0
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,11.0,,3.0
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,3.0,,4.0
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2.0
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,3.0,,2.0
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1250.0,78.0,4.0
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,87.097,78.125,1.0
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,3.0
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,3.226,3.125,4.0
21,Field Goal Made,The number of times a field goal is made.,FGM,27.0,1.0,3.0
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,4.0,,4.0
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,11.0,,1.0
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,10.0,,2.0
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,2.0,,3.0
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2.0
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,2.0,,5.0
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1070.0,66.0,3.0
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,180.0,11.0,4.0
31,Kickoff Returns,The number of times a kickoff was returned.,KR,36.0,2.0,1.0
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1.0
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,908.0,56.0,4.0
34,Kickoffs,The number of kickoffs taken.,K,93.0,5.0,1.0
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5760.0,182.0,1.0
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,56.0,,2.0
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,56.0,37.0,2.0
38,Long Kickoff,The distance of the longest kickoff.,LK,69.0,63.0,3.0
39,Team Games Played,The numbers of team games played.,GP,16.0,,31.0
40,Total Kicking Points,The number of total points earned kicking.,PTS,129.0,8.0,1.0
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,46.237,43.02299880981445,3.0
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,43.0,2.0,3.0
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0
2,Fumble Recoveries,The number of fumble recoveries.,FR,10.0,,10.0
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,1.0,,29.0
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1.0
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0
8,Kick Returns,The number of kick returns.,ATT,36.0,2.0,7.0
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,2.0,,1.0
10,Kick Return Yards,The total yardage of kick returns.,YDS,908.0,56.0,6.0
11,Long Kick Return,The longest kick return in yards.,LNG,101.0,28.0,4.0
12,Long Punt Return,The longest punt return in yards.,LNG,28.0,11.0,12.0
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,13.0,,2.0
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,44.0,,13.0
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,18.0,1.0,16.0
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,62.069,,14.0
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0
23,Punt Returns,The number of punt returns.,ATT,29.0,1.0,16.0
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4.0
27,Punt Return Yards,The total yardage of punt returns.,YDS,276.0,17.0,17.0
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0
30,Team Games Played,The numbers of team games played.,GP,16.0,,31.0
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,25.222,19.849000930786133,6.0
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,9.517,8.67199993133545,13.0
33,Yards Per Return,The average number of yards per return.,YDS/R,18.215,,7.0
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,9.063,8.67199993133545,15.0
1,Fair Catches,The number of fair catches.,FC,13.0,,27.0
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,47.689,43.882999420166016,13.0
3,Long Punt,The distance of the longest punt.,LNG,67.0,51.0,20.0
4,Net Average Punt Yards,The average net number of yards per punt.,NET,43.5,41.30699920654297,10.0
5,Punt Returns,The number of times a punt was returned.,ATT,16.0,1.0,32.0
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,145.0,9.0,30.0
7,Punts,The number of punts taken.,PUNTS,45.0,2.0,32.0
8,Punts Blocked,The number of times a punt was blocked.,PBLK,1.0,,3.0
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,2.222,0.00800000037997961,3.0
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,5.0,,28.0
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,11.111,,16.0
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,16.0,1.0,31.0
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,35.556,35.25,19.0
14,Punt Yards,The total amount of yardage of punts.,YDS,2146.0,134.0,32.0
15,Team Games Played,The numbers of team games played.,GP,16.0,,31.0
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,11.111,12.23900032043457,6.0
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,5.0,,13.0
0,Defensive Points,The number of points scored on defense.,DP,4.0,4.0,1.0
1,Field Goals,The number of field goals made.,FG,27.0,1.0,19.0
2,Kick Extra Points,The number of extra points made.,PAT,48.0,3.0,5.0
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,35.0,2.0,2.0
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,35.0,2.0,2.0
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6.0
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,15.0,,15.0
8,Total Points,The number of total points scored.,PTS,455.0,27.0,4.0
9,Total Points Per Game,The number of points scored per game.,TP/G,28.438,,2.0
10,Total Touchdowns,The number of touchdowns scored in total.,TD,53.0,3.0,5.0
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,2.0,,11.0
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,1.0,,14.0
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,1.0,,14.0
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,1.0,,4.0
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Total 1st downs,The the number of first downs.,CMP,367.0,22.0,5.0
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,212.0,13.0,8.0
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,27.0,1.0,16.0
3,First Downs Per Game,The average number of first downs per game.,FD/G,22.938,22.0,2.0
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,128.0,8.0,10.0
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,13.0,,28.0
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,53.846,22.91699981689453,12.0
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,7.0,,28.0
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,13.0,,2.0
9,Possession Time Seconds,The total time of possession in seconds.,POSS,28663.0,1791.0,32.0
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,67.73,,14.0
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,17.24,,30.0
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,77.59,63.0,26.0
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,60.34,,9.0
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,193.0,12.0,31.0
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,50.259,49.55099868774414,1.0
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,97.0,6.0,5.0
17,Total Giveaways,The total number of giveaways.,TGV,27.0,,3.0
18,Total Penalties,The total number of total penalties.,TPEN,92.0,5.0,16.0
19,Total Penalty Yards,The total number of penalty yards.,TPY,709.0,44.0,23.0
20,Total Takeaways,The total number of takeaways.,TT,27.0,,4.0
21,Total Drives,The total number of drives.,D,0.0,,1.0
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,0.0,,15.0
