,displayName,description,abbreviation,value,perGameValue,rank
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,5.0,,5.0
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1017.0,59.0,15.0
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,92.593,71.56900024414062,3.0
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,9.0
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,3.704,1.9609999656677246,11.0
21,Field Goal Made,The number of times a field goal is made.,FGM,25.0,1.0,11.0
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2.0
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,6.0,,11.0
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,8.0,,6.0
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,7.0,,7.0
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,4.0,,8.0
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,4.0
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,4.0,,12.0
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,921.0,54.0,11.0
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,96.0,5.0,15.0
31,Kickoff Returns,The number of times a kickoff was returned.,KR,38.0,2.0,3.0
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,1.0,,15.0
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,996.0,58.0,15.0
34,Kickoffs,The number of kickoffs taken.,K,76.0,4.0,15.0
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,4793.0,123.0,15.0
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,56.0,,9.0
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,51.0,29.0,15.0
38,Long Kickoff,The distance of the longest kickoff.,LK,71.0,54.0,8.0
39,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
40,Total Kicking Points,The number of total points earned kicking.,PTS,102.0,6.0,14.0
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,53.947,55.60200119018555,13.0
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,41.0,2.0,14.0
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1.0
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1.0
2,Fumble Recoveries,The number of fumble recoveries.,FR,9.0,,17.0
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,29.0,,14.0
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1.0
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1.0
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1.0
