teamName ,displayName,description,abbreviation,value,perGameValue,rank
Ravens,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1,,14
Ravens,Interception Yards,The number of yards gained after an interception.,YDS,38,2,32
Ravens,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,23.031,16.72400093,10
Ravens,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,60.056,24.58200073,16
Ravens,Extra Point Attempts,The number of extra point attempts.,XPA,32,1,12
Ravens,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,100,94.11799622,1
Ravens,Extra Point Blocked,The number of extra points blocked.,XPB,0,,1
Ravens,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0,,1
Ravens,Extra Points Made,The number of extra point attempts made.,XPM,32,1,11
Ravens,Fair Catches,The number of fair catches.,FC,0,,1
Ravens,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0,9.888999939,1
Ravens,Field Goal Attempts,The number of times a field goal is attempted.,FGA,37,2,4
Ravens,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0,,2
Ravens,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,7,,7
Ravens,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,9,,6
Ravens,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,15,,1
Ravens,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,5,,10
Ravens,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,1,,1
Ravens,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,6,,9
Ravens,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1498,88,4
Ravens,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,94.595,90,1
Ravens,Field Goals Blocked,The number of field goals that are blocked.,FGB,0,,1
Ravens,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0,,1
Ravens,Field Goal Made,The number of times a field goal is made.,FGM,35,2,4
Ravens,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0,,2
Ravens,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,7,,6
Ravens,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9,,5
Ravens,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,13,,1
Ravens,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,5,,5
Ravens,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,1,,1
Ravens,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,6,,6
Ravens,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1401,82,2
