,displayName,description,abbreviation,value,perGameValue,rank
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,11.0,,28
8,Total Points,The number of total points scored.,PTS,287.0,16.0,32
9,Total Points Per Game,The number of points scored per game.,TP/G,16.882,,32
10,Total Touchdowns,The number of touchdowns scored in total.,TD,29.0,1.0,28
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1.0,,18
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,1.0,,4
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,300.0,17.0,25
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,166.0,9.0,25
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,29.0,1.0,11
3,First Downs Per Game,The average number of first downs per game.,FD/G,17.647,17.0,25
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,105.0,6.0,19
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,24.0,1.0,14
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,50.0,35.29399871826172,17
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,12.0,,12
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,9.0,,14
9,Possession Time Seconds,The total time of possession in seconds.,POSS,30553.0,1797.0,17
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,66.27,,18
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,25.0,,20
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,80.56,51.0,20
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,55.56,,13
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,230.0,13.0,8
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,29.13,28.858999252319336,32
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,67.0,3.0,30
17,Total Giveaways,The total number of giveaways.,TGV,24.0,,7
18,Total Penalties,The total number of total penalties.,TPEN,113.0,6.0,2
19,Total Penalty Yards,The total number of penalty yards.,TPY,970.0,57.0,1
20,Total Takeaways,The total number of takeaways.,TT,23.0,,14
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-1.0,,16
