,displayName,description,abbreviation,value,perGameValue,rank
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,2.0,,4
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,1
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,2.0,,3
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,911.0,53.0,4
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,189.0,7.0,1
31,Kickoff Returns,The number of times a kickoff was returned.,KR,26.0,1.0,4
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,599.0,35.0,1
34,Kickoffs,The number of kickoffs taken.,K,99.0,5.0,1
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,6186.0,177.0,1
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,51.0,,4
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,51.0,30.0,4
38,Long Kickoff,The distance of the longest kickoff.,LK,68.0,57.0,3
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,132.0,7.0,2
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,47.475,46.645999908447266,4
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,47.0,2.0,4
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,10.0,,10
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,68.0,,7
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,26.0,1.0,27
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,599.0,35.0,22
11,Long Kick Return,The longest kick return in yards.,LNG,39.0,21.0,25
12,Long Punt Return,The longest punt return in yards.,LNG,35.0,12.0,9
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,8.0,,20
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,22.0,,18
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,21.0,1.0,8
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,63.636,,13
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,33.0,1.0,13
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4
27,Punt Return Yards,The total yardage of punt returns.,YDS,356.0,20.0,4
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,23.038,19.215999603271484,14
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,10.788,9.814000129699707,5
33,Yards Per Return,The average number of yards per return.,YDS/R,16.186,,15
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,9.0,9.814000129699707,16
1,Fair Catches,The number of fair catches.,FC,17.0,1.0,19
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,43.869,42.79800033569336,30
3,Long Punt,The distance of the longest punt.,LNG,74.0,49.0,4
4,Net Average Punt Yards,The average net number of yards per punt.,NET,41.361,40.257999420166016,26
5,Punt Returns,The number of times a punt was returned.,ATT,17.0,1.0,31
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,153.0,9.0,28
7,Punts,The number of punts taken.,PUNTS,61.0,3.0,21
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,14.0,,3
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,22.951,,2
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,32.0,1.0,4
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,52.459,56.52899932861328,1
14,Punt Yards,The total amount of yardage of punts.,YDS,2676.0,157.0,26
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,8.197,5.6020002365112305,12
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,5.0,,13
0,Defensive Points,The number of points scored on defense.,DP,0.0,2.0,11
1,Field Goals,The number of field goals made.,FG,27.0,1.0,19
2,Kick Extra Points,The number of extra points made.,PAT,51.0,3.0,2
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,30.0,1.0,4
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,30.0,1.0,4
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,20.0,1.0,5
8,Total Points,The number of total points scored.,PTS,450.0,25.0,6
9,Total Points Per Game,The number of points scored per game.,TP/G,26.471,,6
10,Total Touchdowns,The number of touchdowns scored in total.,TD,53.0,3.0,5
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,0.0,,26
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,347.0,20.0,11
