,id,fullName,active
629,4248555,Josh Babicz,False
630,5552,Jason Babin,False
631,8473,Jonathan Babineaux,False
632,5840,Jordan Babineaux,False
633,15924,Jeff Baca,False
634,3886809,Andre Baccellia,True
635,2972498,Joe Bacci,False
636,4036507,Joe Bachie,True
637,3919510,Alex Bachman,True
638,2582311,Kennard Backman,False
639,2566,Jeff Backus,False
640,4660,Waine Bacon,False
641,3998274,Waine Bacon,False
642,4686421,David Bada,True
643,15359,Johnson Bademosi,False
644,3053760,Jeff Badet,False
645,1319,Brad Badger,False
646,3123052,Michael Badgley,True
647,3041102,Sherman Badie,False
648,4362748,Tyler Badie,True
649,16297,Brett Baer,False
650,3126158,Stephen Baggett,False
651,2578696,Donnie Baggs,False
652,13175,Stevie Baggs,False
653,3910249,Kenji Bahar,False
654,6453,Matt Bahr,False
655,7702,Aaron Bailey,False
656,3042451,Aaron Bailey,False
657,14020,Allen Bailey,False
658,16044,Alvin Bailey,False
659,15216,Antwon Bailey,False
660,4492,Boss Bailey,False
661,7014,Carlton Bailey,False
662,1758,Champ Bailey,False
663,14322,Dan Bailey,False
664,16966,Dion Bailey,False
665,4241862,Hakeem Bailey,False
666,8028,Henry Bailey,False
667,3931395,Jake Bailey,True
668,4035531,JaQuan Bailey,False
669,6674,Johnny Bailey,False
670,1835,Karsten Bailey,False
671,3998275,Karsten Bailey,False
672,4030747,Manasseh Bailey,False
673,3917992,Markus Bailey,True
674,11496,Patrick Bailey,False
675,3128773,Quinn Bailey,True
676,3892271,Rasheed Bailey,False
677,267,Robert Bailey,False
678,2730,Rodney Bailey,False
679,4039320,Sergio Bailey,False
680,15822,Stedman Bailey,False
681,2578530,Sterling Bailey,False
682,7947,Thomas Bailey,False
683,7390,Victor Bailey,False
684,3924352,Zack Bailey,True
685,2970639,Rob Bain,False
686,14361,Brandon Bair,False
687,3915240,Derrick Baity Jr.,False
688,8663,Billy Bajema,False
689,10839,Dek Bake,False
690,3127287,Budda Baker,True
691,15301,Chase Baker,False
692,3616,Chris Baker,False
693,12760,Chris Baker,False
694,10670,Dallas Baker,False
695,3915163,DeAndre Baker,False
696,3126325,Dorian Baker,False
697,14892,Edwin Baker,False
698,1917,Eugene Baker,False
699,16546,George Baker,False
700,17433,James Baker,False
701,2576746,Jared Baker,False
702,2845,Jason Baker,False
703,3915507,Jerome Baker,True
704,2403,John Baker,False
705,867,Jon Baker,False
